Fecha recibo|Nro de recibo|Importe|Razón Social|CUIT|Fecha Factura|Nro de factura|Monto de factura|Medio de pago|Nro del MP|Fecha pago|Importe del MP|Id Subasta  
||1258400.00|||A0002-00000699|15-11-2023|1258400.00|DEPOSITOS|123-009694/0|2023-11-15|508400.00|196  
||7393100.00|||A0002-00000715|15-11-2023|7393100.00|CHEQUES DE TERCEROS|24413728|2023-11-17|1730500.00|196  
||7393100.00|||A0002-00000715|15-11-2023|7393100.00|CHEQUES DE TERCEROS|24413730|2023-11-17|1848200.00|196  
||7393100.00|||A0002-00000715|15-11-2023|7393100.00|CHEQUES DE TERCEROS|24413729|2023-11-24|1848200.00|196  
||7393100.00|||A0002-00000715|15-11-2023|7393100.00|CHEQUES DE TERCEROS|24413731|2023-11-24|1848480.00|196  
||7393100.00|||A0002-00000715|15-11-2023|7393100.00|Retenciones SICORE - Impto. a las Ganancias|1294|2023-11-16|117720.00|196  
||1982585.00|||A0002-00000722|15-11-2023|1982585.00|DEPOSITOS|123-009694/0|2023-11-21|1982585.00|173  
||12100.00|||B0002-00000057|24-11-2023|12100.00|DEPOSITOS|123-009694/0|2023-11-24|12100.00|173  
||1116830.00|||A0002-00000728|16-11-2023|1116830.00|DEPOSITOS|123-009694/0|2023-11-21|1116830.00|170  
||1179750.00|||B0002-00000051|16-11-2023|1179750.00|DEPOSITOS|123-009694/0|2023-11-21|1179750.00|170  
||738342.00|||A0002-00000756|21-11-2023|738342.00|DEPOSITOS|123-009694/0|2023-11-17|320000.00|173  
||738342.00|||A0002-00000756|21-11-2023|738342.00|DEPOSITOS|123-009694/0|2023-11-17|418342.00|173  
||366067.00|||A0002-00000758|22-11-2023|366067.00|DEPOSITOS|123}|2023-11-22|366067.00|185  
||31557.50|||A0002-00000766|22-11-2023|31557.50|DEPOSITOS|123-009694/0|2023-11-23|31557.50|185  
||384211.30|||A0002-00000776|27-11-2023|384211.30|DEPOSITOS|123-009694/0|2023-11-27|384211.30|211  
||4323067.00|||A0002-00000783|27-11-2023|4323067.00|DEPOSITOS|123-009694/0|2023-11-23|300000.00|201  
||4323067.00|||A0002-00000783|27-11-2023|4323067.00|DEPOSITOS|123-009694/0|2023-11-28|4023067.00|201  
||34182.50|||A0002-00000777|27-11-2023|34182.50|DEPOSITOS|123-009694/0|2023-11-23|15000.00|211  
||34182.50|||A0002-00000777|27-11-2023|34182.50|DEPOSITOS|123-009694/0|2023-11-29|19182.50|211  
